Date,Open,High,Low,Close,Volume,AdjClose
4/5/2010,11380.63,11408.17,11148.8,11204.34,140400,11204.34
3/29/2010,10909.98,11313.98,10901.2,11286.09,60700,11286.09
3/23/2010,10793.05,11001.59,10766.65,10996.37,125900,10996.37
3/15/2010,10802.11,10864.3,10708.97,10824.72,124200,10824.72
3/8/2010,10538.12,10777.49,10514.28,10751.26,137100,10751.26
3/1/2010,10128.73,10376.41,10116.86,10368.96,117800,10368.96
2/22/2010,10302.07,10449.75,10085.13,10126.03,120600,10126.03
2/15/2010,10097.82,10354.42,10012.53,10123.58,110500,10123.58
2/8/2010,10007.47,10099.46,9867.39,10092.19,133800,10092.19
2/1/2010,10212.36,10438.41,10036.33,10057.09,158900,10057.09
1/25/2010,10478.31,10566.49,10198.04,10198.04,155800,10198.04
1/18/2010,10887.61,10895.1,10528.33,10590.55,174300,10590.55
1/12/2010,10770.35,10982.1,10729.86,10982.1,240800,10982.1
1/4/2010,10609.34,10816.45,10608.14,10798.32,169300,10798.32
12/28/2009,10521.81,10707.51,10513.55,10546.44,123400,10546.44
12/21/2009,10196.71,10558.41,10183.47,10494.71,129800,10494.71
12/14/2009,10126.61,10260.12,10009.6,10142.05,169200,10142.05
12/7/2009,10131.9,10204.58,9834.22,10107.87,169400,10107.87
11/30/2009,9189.17,10022.59,9162.18,10022.59,187500,10022.59
11/24/2009,9511,9511,9076.41,9081.52,151100,9081.52
11/16/2009,9784.14,9847.64,9423.66,9497.68,163200,9497.68
11/9/2009,9777.64,9979.46,9719.38,9770.31,123400,9770.31
11/2/2009,9903.77,9904.61,9691.69,9789.35,134100,9789.35
10/26/2009,10271.84,10397.69,9850.12,10034.74,151000,10034.74
10/19/2009,10179.46,10364.17,10125.33,10282.99,142600,10282.99
10/13/2009,10066.85,10290.31,10016.24,10257.56,148800,10257.56
10/5/2009,9733.07,10016.39,9628.67,10016.39,153800,10016.39
9/28/2009,10136.24,10151.6,9714.18,9731.87,143100,9731.87
9/24/2009,10405.53,10566.98,10228.6,10265.98,155000,10265.98
9/14/2009,10388.32,10443.8,10170.74,10370.54,135800,10370.54
9/7/2009,10288.56,10522.23,10249.11,10444.33,135700,10444.33
8/31/2009,10608.16,10767,10143.26,10187.11,130700,10187.11
8/24/2009,10389.57,10668.74,10388.78,10534.14,130000,10534.14
8/17/2009,10521.02,10521.02,10142.22,10238.2,137900,10238.2
8/10/2009,10530.62,10630.38,10434.09,10597.33,135100,10597.33
8/3/2009,10355.23,10479.19,10249.04,10412.09,151800,10412.09
7/27/2009,10020.87,10359.07,10015.11,10356.83,155300,10356.83
7/21/2009,9512.52,9950.04,9508.92,9944.55,170600,9944.55
7/13/2009,9242.13,9489.67,9050.33,9395.32,161400,9395.32
7/6/2009,9738.49,9771.76,9265.24,9287.28,140000,9287.28
6/29/2009,9866.28,10086.18,9691.16,9816.07,146000,9816.07
6/22/2009,9788.07,9893,9511.45,9877.39,157000,9877.39
6/15/2009,10126.55,10126.55,9649.83,9786.26,171100,9786.26
6/8/2009,9829.28,10170.82,9755.81,10135.82,203200,10135.82
