Date,Open,High,Low,Close,Volume,AdjClose
4/27/2009,4625.41,4837.22,4547.9,4769.45,31711200,4769.45
4/20/2009,4655.84,4674.73,4390.7,4674.32,38427100,4674.32
4/13/2009,4491.12,4686.29,4461.48,4676.84,26365500,4676.84
4/6/2009,4421.71,4510.74,4228.89,4491.12,28730500,4491.12
3/30/2009,4175.41,4456.3,3987.39,4384.99,33212900,4384.99
3/23/2009,4109.28,4272.12,4102.34,4203.55,31129300,4203.55
3/16/2009,3990.83,4137.8,3947.28,4068.74,37791100,4068.74
3/9/2009,3677.07,4053.84,3588.89,3953.6,34270600,3953.6
3/2/2009,3817.51,3891.71,3638,3666.41,31379700,3666.41
2/23/2009,4057.25,4111.52,3764.69,3843.74,33318100,3843.74
2/17/2009,4329.35,4329.7,4014.66,4014.66,30395800,4014.66
2/9/2009,4627.83,4688.59,4371.47,4413.39,27702400,4413.39
2/2/2009,4309.17,4657.06,4198.15,4644.63,29316300,4644.63
1/26/2009,4165.71,4533.7,4145.12,4338.35,30912800,4338.35
1/19/2009,4409.88,4452.57,4067.43,4178.94,30685200,4178.94
1/12/2009,4765.38,4791.96,4295.76,4366.28,35109900,4366.28
1/5/2009,5010.18,5111.02,4743.97,4783.89,30616100,4783.89
12/29/2008,4660.17,4974.73,4655.91,4973.07,19678900,4973.07
12/22/2008,4693.66,4718.6,4575.52,4629.38,13508200,4629.38
12/15/2008,4718.39,4785.32,4627.46,4696.7,43910500,4696.7
12/8/2008,4548.87,4850.39,4521.52,4663.37,37570200,4663.37
12/1/2008,4653.12,4732.93,4304.03,4381.47,37695200,4381.47
11/24/2008,4167.71,4703.67,4154.55,4669.44,41332800,4669.44
11/17/2008,4700.5,4733.79,4034.96,4127.41,41489400,4127.41
11/10/2008,5024.43,5135.15,4524.89,4710.24,38653600,4710.24
11/3/2008,5053.94,5302.57,4751.24,4938.46,51430600,4938.46
10/27/2008,4143.45,5066.81,4062.77,4987.97,125469200,4987.97
10/20/2008,4891.76,4941.19,4014.6,4295.67,59049800,4295.67
10/13/2008,4642.02,5383.79,4521.91,4781.33,86837500,4781.33
10/6/2008,5606.07,5606.07,4308,4544.31,85656600,4544.31
