Date,Open,High,Low,Close,Volume,AdjClose
4/28/2008,65191,70973,63706,69366,1597800,69366
4/21/2008,64554,65689,64172,65187,782200,65187
4/14/2008,62592,65384,61467,64923,954200,64923
4/7/2008,64447,65409,62459,62585,851400,62585
3/31/2008,60449,64731,59917,64446,1260600,64446
3/24/2008,58994,62200,58994,60452,2095200,60452
3/17/2008,61987,62372,57824,58987,2540900,58987
3/10/2008,61869,63036,59996,61991,2821600,61991
3/3/2008,63496,65045,61382,61868,2293300,61868
2/25/2008,64605,66005,63482,63489,3457400,63489
2/18/2008,61292,64631,61292,64609,2168200,64609
2/11/2008,59081,63224,59081,61272,5035600,61272
2/6/2008,61076,61076,58030,59076,2005500,59076
1/28/2008,57457,61187,56360,61080,4289000,61080
1/21/2008,57503,57675,53011,57463,3684400,57463
1/14/2008,61950,62536,56241,57506,3953900,57506
1/7/2008,61054,63615,60092,61942,3033000,61942
1/2/2008,63885,63906,60574,61037,2496600,61037
12/26/2007,63101,64584,63101,63886,2150800,63886
12/17/2007,62445,63398,59414,63098,2621800,63098
12/10/2007,65642,66451,62445,62445,2862100,62445
12/3/2007,63018,66529,62373,65639,1079500,65639
11/26/2007,60973,63701,58096,63006,5857300,63006
11/19/2007,64609,64609,59847,60971,5376700,60971
11/12/2007,64321,64896,61034,64609,6679700,64609
11/5/2007,64049,65283,62279,64321,5602800,64321
10/29/2007,64275,65949,63774,64050,6516000,64050
10/22/2007,60884,64320,59473,64276,6449600,64276
10/15/2007,62456,63841,60883,60894,5427400,60894
10/8/2007,62319,64169,61487,62456,5393800,62456
10/1/2007,60465,62704,59536,62319,9227400,62319
9/24/2007,57799,61054,57799,60465,5442100,60465
9/17/2007,54671,58079,53691,57799,6305900,57799
9/10/2007,54554,55465,52321,54671,4809800,54671
9/3/2007,54641,55566,54156,54569,5885700,54569
8/27/2007,52995,54715,51390,54637,27883000,54637
8/20/2007,48561,52998,48561,52998,31861000,52998
8/13/2007,52647,53670,44938,48559,73991600,48559
8/6/2007,52846,55616,51317,52638,58567200,52638
7/30/2007,52925,55662,52575,52846,59344500,52846
7/23/2007,57443,58070,52627,52922,65388200,52922
7/16/2007,57644,58293,56903,57443,17618200,57443
7/10/2007,56444,57983,55628,57644,46714100,57644
7/2/2007,54396,56444,54396,56444,43589300,56444
6/25/2007,54270,54783,53202,54392,82830300,54392
6/18/2007,54519,55003,53911,54267,106745200,54267
6/11/2007,52324,54726,51643,54519,110870500,54519
6/4/2007,53423,53423,50885,52330,89298900,52330
5/28/2007,51616,53423,50607,53423,126224300,53423
5/21/2007,52078,52691,50214,51618,111795600,51618
5/14/2007,50910,52088,50298,52078,105792500,52078
5/7/2007,50591,51369,49526,50902,109635800,50902
4/30/2007,49222,50898,48744,50598,87100600,50598
4/23/2007,49409,49856,48311,49230,107475400,49230
4/16/2007,47925,49459,47917,49408,162083600,49408
4/9/2007,46650,47968,46506,47926,139833200,47926
4/2/2007,45805,46767,45225,46647,146496400,46647
